Understanding Animals: A Critical Challenge in ACI.txt|2018 | Empirical | Animal-Computer Interaction | Qualitative content analysis | NordiCHI | Quantified pets | Kinesthetic empathy | Dog owners | 3
Understanding My Data, Myself: Supporting Self-reflection with Ubicomp Technologies.txt|2011 | Empirical | Human-Computer Interaction | Interviews | UbiComp'11 | Not specified | Not specified | Not specified | 3
A Trip to the Moon: Personalized Animated Movies for Self-reflection.txt|2018 | Empirical | Human-Computer Interaction (HCI) | Randomized control trial | CHI 2018 | Animation generator | Not specified | Students | 5
ConCap: Designing to Empower Individual Reflection on Chronic Conditions Using Mobile Apps.txt|2015 | Empirical | Health care | Deployment study | MobileHCI'15 | ConCap mobile app | Not specified | Patients with diabetes | 4
When Fitness Trackers Don'T 'Fit': End-user Difficulties in the Assessment of Personal Tracking Device Accuracy.txt|2015 | Empirical | Personal Tracking Devices | Interviews | UbiComp '15 | Not specified | Not specified | Tracking Device Users | 4
Real-life Experiences with an Adaptive Light Bracelet.txt|2015 | Empirical | Wearable Computing | Experiment | British HCI 2015 | Adaptive Light Bracelet | Not specified | Not specified | 4
Making Sense of Sleep Sensors: How Sleep Sensing Technologies Support and Undermine Sleep Health.txt|2017 | Empirical | Sleep Health | Surveys, Interviews, Experiments | CHI 2017 | Sleep Sensing Technologies | SATED Framework | Patients, Sleep Medical Experts, General Users | 5
Leveraging Intermediated Interactions to Support Utilization of Persuasive Personal Health Informatics.txt|2016 | Empirical | Healthcare | Empirical studies in HCI | ICTD '16, June 03-06, 2016, Ann Arbor, Michigan, USA | Mobile phone-based application | Persuasive system design (PSD) model | Overweight or pre-diabetic adults | 3
Sitting in the Same Boat: A Case Study of a Combined Awareness System and Behaviour Change Technology.txt|2015 | Empirical | Human-Computer Interaction (HCI) | Case Study | OzCHI | Combined Awareness System and Behaviour Change Technology | Not specified | Friends | 3
Social Fabric Fitness: The Design and Evaluation of Wearable E-textile Displays to Support Group Running.txt|2014 | Empirical | Human-Computer Interaction | Field study | CHI 2014 | Social Fabric Fitness (SFF) | Social facilitation theory | Runners | 3
Personalization Revisited: A Reflective Approach Helps People Better Personalize Health Services and Motivates Them to Increase Physical Activity.txt|2015 | Empirical | Health | Field experiment | UbiComp '15 | Fitbit Plan website | Reflective personalization strategy | Fitbit users | 4
MoodLight: Exploring Personal and Social Implications of Ambient Display of Biosensor Data.txt|2015 | Empirical | Human-Computer Interaction | Experiments | CSCW 2015 | MoodLight | Not specified | College students | 7
Social Activity Measurement by Counting Faces Captured in First-Person View Lifelogging Video.txt|2019 | Empirical | Human-Computer Interaction | Empirical studies in HCI | Augmented Human International Conference 2019 (AH2019) | System for measuring social activity | Not specified | Camera wearers | 2
Technologies to Engage Young Children in Physical Activity: An Online Study of Parenting Practices.txt|2018 | Empirical | Human-Computer Interaction | Qualitative study | 30th Australian Computer-Human Interaction Conference (OzCHI '18) | Not specified | Theory of parents’ physical activity practices | Parents of young children | 3
How to Drive a London Bus: Measuring Performance in a Mobile and Remote Workplace.txt|2015 | Empirical | Human-Computer Interaction (HCI) | Ethnography, Semi-structured interviews | CHI 2015 | Drivewell | Not specified | Bus drivers | 4
Does Journaling Encourage Healthier Choices?: Analyzing Healthy Eating Behaviors of Food Journalers.txt|2018 | Empirical | Health informatics | Data analysis | 2018 International Digital Health Conference | MyFitnessPal dataset | Not specified | Food journalers | 3
EdiPulse: Investigating a Playful Approach to Self-monitoring Through 3D Printed Chocolate Treats.txt|2017 | Empirical | Human-Computer Interaction | Field Study | CHI Conference | EdiPulse | Not specified | Households | 5
Crumbs: Lightweight Daily Food Challenges to Promote Engagement and Mindfulness.txt|2016 | Empirical | Human-Computer Interaction | Field Study | CHI 2016 | Food4Thought | Mindful Eating | Participants | 5
TimeAware: Leveraging Framing Effects to Enhance Personal Productivity.txt|2016|empirical|Human-Computer Interaction|field deployment study|CHI 2016|TimeAware|framing effects|graduate students, office workers, freelancers|6
Understanding Personal Productivity: How Knowledge Workers Define, Evaluate, and Reflect on Their Productivity.txt|2019 | Empirical | Human-Computer Interaction | Diary study, Semi-structured interview | CHI Conference on Human Factors in Computing Systems | Not specified | Not specified | Knowledge workers | 4
Beyond Behavior: The Coach's Perspective on Technology in Health Coaching.txt|2019 | Theoretical | Health Coaching | Qualitative Studies | CHI Conference on Human Factors in Computing Systems | Multi-channel communication model | Not specified | Health coaches (dietitians, personal trainers, etc.) | 3
Self-tracking Cultures: Towards a Sociology of Personal Informatics.txt|2014 | Theoretical | Sociology | Not specified | OzCHI | Not specified | Not specified | Not specified | 1
Pass the Ball: Enforced Turn-Taking in Activity Tracking.txt|2015 | Empirical | Mobile Health | Research through design | CHI 2015 | Pass The Ball | Social-relatedness and individual-competence | Not specified | 4
Barriers and Negative Nudges: Exploring Challenges in Food Journaling.txt|2015 | Empirical | Personal Informatics | Qualitative Study | CHI 2015 | Not specified | Not specified | Food Journalers | 7
Quantified Factory Worker: Designing a Worker Feedback Dashboard.txt|2018 | Empirical | Human-Computer Interaction | Interviews | NordiCHI | Worker Feedback Dashboard | Quantified Self | Factory workers | 3
Live Interest Meter: Learning from Quantified Feedback in Mass Lectures.txt|2013 | Empirical | Education Technology | Experiments, User Study | LAK '13 | Live Interest Meter App (LIM App) | Reflective Learning, Quantified Self | Students, Presenters | 4
DataSelfie: Empowering People to Design Personalized Visuals to Represent Their Data.txt|2019 | methodological | Human-computer interaction, Personal informatics | user study | CHI Conference on Human Factors in Computing Systems | DataSelfie | Not specified | Not specified | 6
Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use.txt|2016 | Empirical | Personal informatics | Surveys, interviews | CHI 2016 | Not specified | Models of personal informatics, lived informatics | People who formerly tracked physical activity, finances, or location | 6
Expense Control: A Gamified, Semi-Automated, Crowd-Based Approach For Receipt Capturing.txt|2016 | empirical | receipt capturing | user study | IUI | smartphone application | wisdom of crowds | Not specified | 3
Entangled with Numbers: Quantified Self and Others in a Team-Based Online Game.txt|2018 | Empirical | Human-Computer Interaction | Ethnographic study | Proceedings of the ACM on Human-Computer Interaction | Not specified | Not specified | Not specified | 2
Computational Approaches Toward Integrating Quantified Self Sensing and Social Media.txt|2017 | empirical | Health Informatics | Statistical Analysis | CSCW 2017 | MyFitnessPal, Twitter | Granger Causality Model | Not specified | 3
Goal-oriented Visualizations of Activity Tracking: A Case Study with Engineering Students.txt|2012 | Empirical | Learning Analytics | Design-based Research | LAK'12 | Dashboard | Not specified | Students | 4
Designing a Wellness Self-management Tool for Older Adults: Results from a Field Trial of YourWellness.txt|2010 | Empirical | Health and Wellbeing | Field Trial | Conference’10 | YourWellness | Not specified | Older adults | 4
Supporting Meaningful Personal Fitness: The Tracker Goal Evolution Model.txt|2018 | Theoretical | Human-Computer Interaction (HCI) | Semi-structured interviews and online survey | CHI 2018 | Tracker Goal Evolution Model | Hedonic and eudaimonic wellbeing | Fitness tracker users | 2
Barriers to Engagement with a Personal Informatics Productivity Tool.txt|2014 | empirical | Human-Computer Interaction | interviews | OZCHI '14 | RescueTime | Not specified | students | 4
A Lived Informatics Model of Personal Informatics.txt|2015 | Theoretical | Personal Informatics | Surveys, Interviews | UbiComp '15 | Not specified | Lived Informatics Model | Self-trackers | 4
Supporting Coping with Parkinson's Disease Through Self Tracking.txt|2019 | Empirical | Health Informatics | Interviews | CHI Conference on Human Factors in Computing Systems | Not specified | Not specified | People with Parkinson’s Disease and care partners | 7
Monitoring Children's Physical Activity and Sleep: A Study of Surveillance and Information Disclosure.txt|2016 | Empirical | Human-Computer Interaction | Study | OzCHI | Fitbit Flex wristband | Not specified | Children (aged 9-12 years) | 5
Reflective Informatics: Conceptual Dimensions for Designing Technologies of Reflection.txt|2015 | Theoretical | Human-Computer Interaction (HCI) | Not specified | CHI 2015 | Not specified | Reflective informatics | Not specified | 1
Technologies for Everyday Life Reflection: Illustrating a Design Space.txt|2016 | Theoretical | Human-Computer Interaction (HCI) | Design Research | TEI 2016 | Not specified | Not specified | Not specified | 3
We'Ve Bin Watching You: Designing for Reflection and Social Persuasion to Promote Sustainable Lifestyles.txt|2012 | Empirical | Sustainable HCI | User study | CHI 2012 | BinCam | Theory of Planned Behavior | Young adults (18-35) | 7
Modeling Interdependent and Periodic Real-World Action Sequences.txt|2018|theoretical|mobile health|empirical|WWW 2018|TIPAS|Hawkes process-based self-excitations|users|3
Persuasive Technology in the Real World: A Study of Long-term Use of Activity Sensing Devices for Fitness.txt|2014 | Empirical | HCI and ubiquitous computing | Field study | CHI | Fitbit, Nike+ FuelBand, Jawbone UP, Striiv, Bodybugg | Not specified | Not specified | 4
ArmSleeve: A Patient Monitoring System to Support Occupational Therapists in Stroke Rehabilitation.txt|2016 | Empirical | Healthcare | Interviews | DIS 2016 | ArmSleeve Sensor, ArmSleeve Dashboard | Not specified | Stroke patients | 8
One Step Forward, Two Steps Back: The Key to Wearables in the Field is the App.txt|2014|Empirical|Wearable Computing|Usability Test and Field Study|Not specified|Not specified|Not specified|Patients|3
Turn to the Self in Human-Computer Interaction: Care of the Self in Negotiating the Human-Technology Relationship.txt|2019 | Empirical | Human-Computer Interaction | Case study methodology | CHI Conference on Human Factors in Computing Systems | Not specified | Care of the self | Citizens, video game players, American parents with children under two | 4
From Nobody Cares to Way to Go!: A Design Framework for Social Sharing in Personal Informatics.txt|2014 | Theoretical | Personal Informatics | Surveys, Experiments | CSCW 2014 | Design Framework | Not specified | Not specified | 5
ClimbSense: Automatic Climbing Route Recognition Using Wrist-worn Inertia Measurement Units.txt|2015 | Empirical | Sports Technologies | User Study | CHI 2015 | ClimbSense | Not specified | Climbers | 3
Time for Break: Understanding Information Workers' Sedentary Behavior Through a Break Prompting System.txt|2018 | Empirical | Human-Computer Interaction (HCI) | Exploratory field study, semi-structured interviews | CHI 2018 | Time for Break (break prompting system) | Not specified | Information workers | 6
Defining Adherence: Making Sense of Physical Activity Tracker Data.txt|2018 | Empirical | Human-centered computing | Not specified | Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. | Not specified | Not specified | Not specified | 7
Communicating Uncertainty in Fertility Prognosis.txt|2019 | Empirical | Health informatics | Field study | CHI Conference on Human Factors in Computing Systems | Prototype for uncertainty visualizations for FTAs | Not specified | Women | 4
Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture.txt|2015 | Empirical | Personal Informatics | Surveys, Interviews, Experiments | CHI 2015 | DECAF | Not specified | People with varying food goals | 4
Understanding Physical Activity Through 3D Printed Material Artifacts.txt|2014 | Empirical | Human-Computer Interaction | In the wild study | CHI 2014 | SweatAtoms | Not specified | Households | 3
I'Ll Be Back: On the Multiple Lives of Users of a Mobile Activity Tracking Application.txt|2018 | Empirical | Mobile health | Observational study | WWW 2018: The 2018 Web Conference | Argus by Azumio | Multiple lives of user engagement | Users of a mobile activity tracking application | 3
Predicting Interruptibility for Manual Data Collection: A Cluster-based User Model.txt|2017 | empirical | Human-Computer Interaction | experiments | MobileHCI | LifeTracker application | Not specified | smartphone users | 5
Why We Use and Abandon Smart Devices.txt|2015 | Empirical | Human-Computer Interaction (HCI) | Interviews | UbiComp '15 | Not specified | Rational choice theory | Technology company employees | 4
Visual ODLs: Co-Designing Patient-Generated Observations of Daily Living to Support Data-Driven Conversations in Pediatric Care.txt|2018 | Empirical | Healthcare | Co-design | CHI Conference | Visual ODLs | Observations of Daily Living framework | Teens with complex chronic illnesses | 4
Opportunities for Oral Health Monitoring Technologies Beyond the Dental Clinic.txt|2018 | Empirical | Oral Health | Surveys, Interviews | PervasiveHealth '18 | Not specified | Not specified | Patients, Oral Health Providers | 5
Heed: Exploring the Design of Situated Self-Reporting Devices.txt|2018 | Empirical | Ubiquitous and mobile computing | Qualitative study | Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. | Heed system | Experience Sampling Method (ESM), Ecological Momentary Assessment (EMA) | Not specified | 7
Personal Tracking of Screen Time on Digital Devices.txt|2016 | Empirical | Human-Computer Interaction | Qualitative Interviews | CHI 2016 | ScreenLife | Not specified | Students | 5
When Personal Tracking Becomes Social: Examining the Use of Instagram for Healthy Eating.txt|2017 | Empirical | Health | Interviews | CHI 2017 | Not specified | Lived informatics model | Women who use Instagram for healthy eating | 6
